mode,t,f,best_f,x_norm
quadratic_benchmark,1,-24.32000000000001,-24.32000000000001,1.6000000000000005
quadratic_benchmark,2,-44.019200000000026,-44.019200000000026,3.0400000000000005
quadratic_benchmark,3,-59.975552,-59.975552,4.336
quadratic_benchmark,4,-72.90019711999996,-72.90019711999996,5.5024
quadratic_benchmark,5,-83.3691596672001,-83.3691596672001,6.55216
quadratic_benchmark,6,-91.84901933043207,-91.84901933043207,7.496944000000004
quadratic_benchmark,7,-98.71770565764989,-98.71770565764989,8.347249600000003
quadratic_benchmark,8,-104.28134158269646,-104.28134158269646,9.112524640000002
quadratic_benchmark,9,-108.78788668198408,-108.78788668198408,9.801272176000003
quadratic_benchmark,10,-112.43818821240711,-112.43818821240711,10.421144958400005
quadratic_benchmark,11,-115.39493245204974,-115.39493245204974,10.979030462559995
quadratic_benchmark,12,-117.78989528616022,-117.78989528616022,11.481127416304004
quadratic_benchmark,13,-119.72981518178973,-119.72981518178973,11.933014674673599
quadratic_benchmark,14,-121.30115029724972,-121.30115029724972,12.339713207206238
quadratic_benchmark,15,-122.57393174077228,-122.57393174077228,12.705741886485617
quadratic_benchmark,16,-123.6048847100256,-123.6048847100256,13.035167697837052
quadratic_benchmark,17,-124.43995661512089,-124.43995661512089,13.331650928053348
quadratic_benchmark,18,-125.1163648582479,-125.1163648582479,13.598485835248017
quadratic_benchmark,19,-125.66425553518062,-125.66425553518062,13.838637251723208
quadratic_benchmark,20,-126.1080469834964,-126.1080469834964,14.054773526550889
quadratic_benchmark,21,-126.46751805663196,-126.46751805663196,14.249296173895809
quadratic_benchmark,22,-126.75868962587202,-126.75868962587202,14.424366556506227
quadratic_benchmark,23,-126.99453859695619,-126.99453859695619,14.581929900855604
quadratic_benchmark,24,-127.18557626353439,-127.18557626353439,14.723736910770043
quadratic_benchmark,25,-127.34031677346314,-127.34031677346314,14.851363219693033
quadratic_benchmark,1,2334.853114878504,0.0,7.640450202559538,2364.2474115605796,29.394296682075293,6.9006347986951155
quadratic_benchmark,2,191461.126637778,0.0,61.12154518235133,191490.52093446007,29.394296682075293,61.88764664073227
quadratic_benchmark,3,15510691.850679012,0.0,557.733005440058,15510721.244975694,29.394296682075293,556.9691588533655
quadratic_benchmark,4,1256368382.5786555,0.0,5011.956629425995,1256368411.9729521,29.394296682075293,5012.720660166556
quadratic_benchmark,5,101765841333.23009,0.0,45115.2497991859,101765841362.62439,29.394296682075293,45114.485782242744
quadratic_benchmark,6,8243033150337.362,0.0,406029.6080080413,8243033150366.757,29.394296682075293,406030.3720258516
quadratic_benchmark,7,667685685179673.5,0.0,3654274.112249156,667685685179702.9,29.394296682075293,3654273.3482313757
quadratic_benchmark,8,5.40825404995559e+16,0.0,32888459.370064493,5.408254049955594e+16,29.394296682075293,32888460.13408227
quadratic_benchmark,9,4.380685780464032e+18,0.0,295996141.9707582,4.380685780464032e+18,29.394296682075293,295996141.20674044
quadratic_benchmark,10,3.548355482175866e+20,0.0,2663965270.0966463,3.548355482175866e+20,29.394296682075293,2663965270.8606644
quadratic_benchmark,11,2.8741679405624522e+22,0.0,23975687438.51,2.8741679405624522e+22,29.394296682075293,23975687437.745983
quadratic_benchmark,12,2.3280760318555872e+24,0.0,215781186938.94983,2.3280760318555872e+24,29.394296682075293,215781186939.71387
quadratic_benchmark,1,3.0,1,2,2334.8530110153324,0.0,7.640450051700338,2364.247307697408,29.394296682075293,6.900634646535538
quadratic_benchmark,2,5.0,2,3,191461.1193348888,0.0,61.121544002333984,191490.51363157085,29.394296682075293,61.887645460524205
quadratic_benchmark,3,7.0,3,4,15510691.262423629,0.0,557.7329948783353,15510720.65672031,29.394296682075293,556.9691482916338
quadratic_benchmark,4,9.0,4,5,1256368334.9428437,0.0,5011.956534396139,1256368364.3371403,29.394296682075293,5012.7205651366985
quadratic_benchmark,5,11.0,5,6,101765837473.84402,0.0,45115.24894372095,101765837503.23833,29.394296682075293,45114.484926777805
quadratic_benchmark,6,13.0,6,7,8243032837733.586,0.0,406029.60030901677,8243032837762.98,29.394296682075293,406030.3643268271
quadratic_benchmark,7,15.0,7,8,667685659858837.0,0.0,3654274.042958126,667685659858866.4,29.394296682075293,3654273.2789403456
quadratic_benchmark,8,17.0,8,9,5.408253844856754e+16,0.0,32888458.74644503,5.408253844856757e+16,29.394296682075293,32888459.510462806
quadratic_benchmark,9,19.0,9,10,4.3806856143339725e+18,0.0,295996136.358183,4.3806856143339725e+18,29.394296682075293,295996135.5941652
quadratic_benchmark,10,21.0,10,11,3.548355347610519e+20,0.0,2663965219.58347,3.548355347610519e+20,29.394296682075293,2663965220.3474874
quadratic_benchmark,11,23.0,11,12,2.8741678315645205e+22,0.0,23975686983.891407,2.8741678315645205e+22,29.394296682075293,23975686983.127388
quadratic_benchmark,12,25.0,12,13,2.3280759435672624e+24,0.0,215781182847.3825,2.3280759435672624e+24,29.394296682075293,215781182848.1465
quadratic_benchmark,1,3.0,1,2,2334.8531200602297,0.0,7.640450208632777,2364.247416742305,29.394296682075293,6.900634819313242
quadratic_benchmark,2,5.0,2,3,191461.12936548906,0.0,61.12154562240906,191490.52366217112,29.394296682075293,61.88764708432406
quadratic_benchmark,3,7.0,3,4,15510692.070573539,0.0,557.7330093880146,15510721.46487022,29.394296682075293,556.9691628016794
quadratic_benchmark,4,9.0,4,5,1256368400.3296638,0.0,5011.956664837907,1256368429.7239604,29.394296682075293,5012.720695578502
quadratic_benchmark,5,11.0,5,6,101765842769.343,0.0,45115.250117512245,101765842798.7373,29.394296682075293,45114.48610056909
quadratic_benchmark,6,13.0,6,7,8243033266616.102,0.0,406029.6108718354,8243033266645.496,29.394296682075293,406030.3748896457
quadratic_benchmark,7,15.0,7,8,667685694598225.5,0.0,3654274.138023233,667685694598254.9,29.394296682075293,3654273.3740054523
quadratic_benchmark,8,17.0,8,9,5.408254126245921e+16,0.0,32888459.60203136,5.408254126245924e+16,29.394296682075293,32888460.366049133
quadratic_benchmark,9,19.0,9,10,4.38068584225918e+18,0.0,295996144.05845934,4.38068584225918e+18,29.394296682075293,295996143.2944416
quadratic_benchmark,10,21.0,10,11,3.548355532229938e+20,0.0,2663965288.8859572,3.548355532229938e+20,29.394296682075293,2663965289.6499753
quadratic_benchmark,11,23.0,11,12,2.87416798110625e+22,0.0,23975687607.613796,2.87416798110625e+22,29.394296682075293,23975687606.849777
quadratic_benchmark,12,25.0,12,13,2.328076064696063e+24,0.0,215781188460.884,2.328076064696063e+24,29.394296682075293,215781188461.648
